symbol,bias,confidence,confidence_level,bullish_score,bearish_score,analysis_time,timestamp
GBPUSD,BULLISH,43.554534340359396,LOW,43.554534340359396,37.58419085597794,0.79s,2025-10-20T20:06:49.199490+00:00
XAUUSD,BULLISH,74.50751750061406,MEDIUM,74.50751750061406,16.64633190070928,0.73s,2025-10-20T20:06:49.934394+00:00
EURUSD,BEARISH,73.66481892446959,MEDIUM,17.522525406638493,73.66481892446959,0.76s,2025-10-20T20:06:50.693716+00:00
